@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Remove-R3-10,12-13,16-17,22-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement-V'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute 'Amount of Skin' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.490786,0.610167,90.015487,1171.15137,0.077271,2.745443,0.187663,54.677755,3.573242,NoPornografico
0.791377,0.485013,4.361897,4569.713996,0.144243,78.026367,3.324544,70.582093,69.009115,Pornografico
0.34853,0.613389,76.072356,1312.991991,0.106231,4.743978,1.509928,46.422581,7.900065,NoPornografico
0.402747,0.423609,43.760809,965.244733,0.100388,2.422852,1.401855,35.878664,6.211263,NoPornografico
0.37758,0.544251,0.313501,1220.104689,0.120683,4.653809,2.72054,37.428984,15.05957,Pornografico
0.879594,0.677868,68.512166,2757.997041,0.281204,55.408691,26.318359,81.449064,81.608073,NoPornografico
0.257279,0.406666,72.579275,2014.406204,0.080997,8.513997,2.276693,58.195996,21.075195,NoPornografico
0.367753,0.607191,42.068037,2150.21948,0.071844,8.604492,7.358236,45.697726,21.999023,NoPornografico
0.525442,0.461538,47.920716,1421.501659,0.196701,10.296061,3.485514,53.001243,22.778646,NoPornografico
0.347319,0.444972,45.508469,2163.398195,0.054756,6.638509,5.919759,45.075044,18.220052,NoPornografico
0.495629,0.816435,47.48759,2354.805266,0.0596,8.561035,6.684245,44.640798,18.229818,NoPornografico
0.482703,0.598332,30.49203,501.989899,0.180671,1.179362,0.84554,24.997037,4.227539,NoPornografico
0.616725,0.657327,21.839601,457.462987,0.273008,1.47998,1.369466,14.440965,7.184245,NoPornografico
