@relation 'CaracteristicasTEST-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {NoPornografico,Pornografico}

@data
0.441289,0.158989,0.161093,0.278081,0.693308,0.446596,0.021024,0.362298,0.406163,0,0.399988,0,0.367485,0.375839,0.097768,0.79562,0.263291,0.197742,0.411993,0.455319,0.394569,0.098724,NoPornografico
0.378189,0.281901,0.182198,0.838931,0.387194,0.35704,0.108395,0.406455,0.063347,0,0.764098,0,0.622422,0.379344,0.122554,0.366788,0.470886,0.237118,0.12538,0.472041,0.272875,0,NoPornografico
0.488235,0.525435,0.314877,0.317537,0.54631,0.502843,0.016521,0.200294,0.01269,0,0.3257,0,0.801478,0.296508,0.057625,0.45073,0.258228,0.088315,0.155469,0.541033,0.197371,0,NoPornografico
0.418159,0.298614,0.094685,0.761636,0.582806,0.494064,0.116773,0.301336,0.556167,0,0.73931,0,0.087607,0.268639,0.10654,0.173358,0.807595,0.110118,0.02763,0.43721,0.125788,0,NoPornografico
0.699455,0,0.406345,0.36375,0.800618,0.610689,0.1276,0.375278,0.28356,0,1,0,0.931433,0.706683,0.132703,0.532847,0.58481,0.83463,0.092287,0.680044,0.765915,0,NoPornografico
0.143423,0.253406,0.134235,0.054017,0.634498,0.261059,0.036523,0.461946,0.717576,0,0.194658,0,0.596702,0.14739,0.08346,0.489051,0.544304,0.027564,0.053875,0.453534,0.092631,0,NoPornografico
0.672496,0.560097,0,0.346609,0.792498,0.748015,0.107407,0.725601,0.927329,0,0.090309,0,0.050064,0.121265,0.139462,0,0.668354,0.028863,0.033648,0.197056,0.143149,0,NoPornografico
0.428496,0.399357,0.241319,0.44948,0.52748,0.65546,0.070543,0.544869,0.453785,0,0.628437,0,0.706889,0.599583,0.044468,0.326642,0.84557,0.304988,0.463755,0.701396,0.555536,0.753002,NoPornografico
0.786688,0.534586,0.305188,0.531777,0.242295,0.625165,0.136314,0.515387,0.710934,0,0.443325,0,0.754027,0.12188,0.678636,0.198905,0.777215,0.135179,0.360384,0.728776,0.250197,0,NoPornografico
0.013829,0.437898,0.422987,0.31244,0.508374,0.176071,0.175661,0.448471,0.722867,0,0.829525,0,0.71073,0.543518,0,0.640511,0.610127,0.125378,0.0324,0.526528,0.199813,0,NoPornografico
0.072477,0.242805,0.500344,0.677801,0.196408,0.370127,0.184427,0.197314,0.053539,0,0.617176,0,0.796285,0.7493,0.003875,0.193431,0.531646,0.258461,0.627618,0.506397,0.577916,0,NoPornografico
0.434668,0.327633,0.098212,0.731786,0.216007,0.445463,0.137738,0.464722,0.117151,0,0.830181,1,0.423588,0.785361,0.054231,0.521898,0.594937,0.573242,0.324052,0.585579,0.661867,0.224939,NoPornografico
0.618508,0.437082,0.193745,0.287054,0.174807,0.521534,0.024965,0.538478,0.639362,0,0.519997,0,0.57087,0.106856,0.588709,0.156934,0.311392,0.093798,0.153439,0.419003,0.125291,0,NoPornografico
0.255788,0.336834,0.235604,0.540374,0.228597,0.405715,0.112115,0.489413,0.901617,0,0.262223,1,0.721913,0.451207,0.036214,0.759124,0.473418,0.158338,0.217518,0.492576,0.514136,0,NoPornografico
0.925936,0.194992,0.19619,0.718903,0.356235,0.620736,0.161781,0.169228,0.979708,0,1,0,0.704663,0.802083,0.121465,0.483577,0.460759,1,0.329965,0.665281,0.77654,1,NoPornografico
0.726684,0.288514,0.155678,0.434525,0.71447,0.694559,0.181185,0.589588,1,0,0.108009,0,0.506671,0.081546,0.504149,0.655109,0.2,0.050596,0.118245,0.385962,0.213608,0,NoPornografico
0.469691,0.798425,0.133932,0.480552,0.338556,0.404653,0.050502,0.458083,0.637334,0,0.946561,0,0.439556,0.541165,0.085221,0.563869,0.534177,0.364412,0.075889,0.644818,0.344432,0,Pornografico
0.522526,0.483142,0.050451,0.482238,0.665857,0.477531,0.087274,0.360389,0.247091,0,0.607599,0,0.069822,0.462578,0.123439,0.266423,0.539241,0.348941,0.356787,0.629493,0.559526,0,Pornografico
1,0.110194,0.034246,0.247108,1,0.742555,0.145934,0.415235,0.552207,0,1,0,0.191992,0.392277,0.558619,0.505474,0.38481,0.923349,0.134434,0.787909,0.762271,0,Pornografico
0.745,0.129534,0.138301,0.599093,0.761138,0.646254,0.32116,0.541083,0.708522,0.889444,1,1,0.455583,0.632337,0.177908,0.571168,0.410127,0.844352,0.04284,0.87451,0.772529,0,Pornografico
0.592411,0.755162,0.930167,0.32797,0.723992,0.776661,0.094467,0.24893,0.685264,0,0.855508,0,0.816009,0.453232,0.254109,0.330292,0.501266,0.598826,0.291487,0.836496,0.808949,0,Pornografico
0.400116,0.180067,0.299594,0.36093,0.621368,0.302206,0.229364,0.630318,0.61162,0,1,0,0.603999,0.55855,0.107222,0.587591,0.437975,0.45328,0.006639,0.753164,0.433159,0,Pornografico
0.550383,0.511779,0.06878,0.472381,0.683125,0.512626,0.083031,0.340316,0.993884,0,0.896546,0,0.077232,0.651385,0.091554,0.406934,0.610127,0.547602,0.12505,0.741081,0.617449,0,Pornografico
0.425658,0.319337,0.12059,0.542524,0.838352,0.426681,0.118093,0.266954,0.344443,0,0.965176,0,0.338452,0.632332,0.111046,0.583942,0.663291,0.590839,0.154952,0.620232,0.588377,0,Pornografico
0.432099,0.399224,0.240149,0.361096,0.796322,0.554345,0.202837,0.507008,0.688848,0.381505,0.579324,1,0.67693,0.440995,0.087701,0.178832,0.625316,0.249907,0.340037,0.751433,0.503722,0,Pornografico
0.596179,0.646467,0.055336,0.350982,0.712803,0.772185,0.037937,0.382307,0.431748,0,0.512179,0,0.231739,0.356373,0.266498,0.677007,0.726582,0.395529,0.461274,0.811376,0.804505,0,Pornografico
0.241943,0.399028,0.072534,0.725749,0.285279,0.345473,1,1,0.031413,0,0.03621,1,0.370191,0.243688,0.033459,1,0.410127,0.044174,0.116457,0.479309,0.305984,0,Pornografico
0.086769,0.766438,0.205086,0.387859,0.523354,0.474944,0.06568,0,0.690812,0,0.846193,0,0.681772,0.577785,0.045423,0.322993,0.529114,0.286732,0.091489,0.55517,0.611285,0.174815,Pornografico
0.856633,0.531501,0.087474,0.304389,0.587463,0.908958,0.067821,0.174244,0.792447,0,1,0,0.42655,0.453811,0.36947,0.437956,0.420253,0.833308,0.054271,1,0.880143,0,Pornografico
0.535419,0.015996,0.168661,0.192625,0.807498,0.558293,0.210788,0.493199,0.635539,0,0.331949,0,0.558656,0.177038,0.345015,0.448905,0.539241,0.136379,0.325685,0.610771,0.324378,0,Pornografico
0.154383,0.351496,0.203848,0.604205,0.45603,0.472381,0.154848,0.39708,0.940903,0.763848,1,1,0.692993,0.691087,0.054035,0.361314,0.673418,0.44564,0.452369,0.547786,0.657159,0,Pornografico
0.871334,0.246771,0.168583,0.418067,0.725413,0.741951,0.234479,0.194927,0.949061,1,1,1,0.653144,0.989927,0.060783,0.461679,0.475949,0.960768,0.055712,0.745233,0.874082,0,Pornografico
0.443903,0.161174,0.16636,0.553115,0.348123,0.577148,0.082912,0.229367,0.464949,0.705892,0.97284,1,0.611076,0.761063,0.053978,0.594891,0.637975,0.537724,0.208309,0.658988,0.619386,0,Pornografico
0.612354,0.293487,0.09697,0.618108,0.948297,0.52935,0.525658,0.938098,0.510295,0,0.482365,0,0.009221,0.38662,0.076022,0.510949,0.491139,0.176284,0.295365,0.505745,0.311482,0,Pornografico
0.385288,0.365782,0.056458,0.910484,0.560968,0.460728,0.233227,0.819105,0.620854,0.353268,0.360402,1,0.055513,0.63327,0.029377,0.441606,0.136709,0.282015,0.63384,0.59975,0.67423,0,Pornografico
0.043507,0.382344,0.258828,0.627948,0.813878,0.399667,0.188297,0.682456,0.6657,0,0.866159,1,0.548386,0.351516,0.042577,0.509124,0.549367,0.104586,0.183061,0.679262,0.24593,0,Pornografico
0.35341,0.264437,0.049734,0.385014,0.914022,0.309121,0.116909,0.616951,0.757989,0,0.418347,0,0.228359,0.271997,0.122841,0.655109,0.475949,0.125575,0.127063,0.554171,0.267302,0.093255,Pornografico
0.661744,0.335453,0.036415,0.89889,0.41455,0.87874,0.203376,0.270928,0.842174,0,0.80108,0,0,0.753352,0.082962,0.655109,0.392405,0.680944,0.776651,0.852702,1,0,Pornografico
0.55928,0.432593,0.356083,0.534024,0.60792,0.492941,0.069799,0.412289,0.742172,0,0.979471,0,0.813519,0.75191,0.086322,0.527372,0.427848,0.696173,0.160024,0.595645,0.646974,0,Pornografico
0.404119,0.413596,0.209623,0.538565,0.468792,0.465658,0.149535,0.372453,0.626026,0,0.677793,1,0.619333,0.578558,0.097722,0.711679,0.579747,0.454817,0.433319,0.550073,0.659027,0,Pornografico
0.740609,0.455312,0.050794,0.939819,0.466112,0.699243,0.127603,0.016316,0.140666,0,0.703077,0,0.125794,0.516957,0.191634,0.344891,0.524051,0.608385,0.555839,0.777023,0.808521,0,Pornografico
0.006445,0.323386,0.317538,0.422205,0.739333,0.136752,0.12724,0.392014,0.993077,0,0.720001,0,0.570196,0.292654,0.068011,0.430657,0.693671,0.095363,0.05014,0.411093,0.128753,0,Pornografico
